engine,entry_time,exit_time,score,size_mult,ret_pct_raw,ret_pct_scaled,dd_before,eq_before,eq_after
V42,2021-01-02 20:45:00,2021-01-02 21:00:00,3,1.0,-0.2058139637008064,-0.2058139637008064,0.0,1.0,0.7941860362991936
IDX500,2021-01-02 21:15:00,2021-01-04 09:15:00,1,0.2,-0.063834519910688,-0.012766903982137602,-0.2058139637008064,0.7941860362991936,0.7840467394298073
IDX500,2021-01-06 20:15:00,2021-01-10 17:15:00,1,0.2,0.5259865573377378,0.10519731146754757,-0.2159532605701927,0.7840467394298073,0.8665263484827198
IDX500,2021-01-14 04:15:00,2021-01-15 14:45:00,1,0.8,-0.062272508458510956,-0.04981800676680877,-0.1334736515172802,0.8665263484827198,0.8233577329903895
IDX500,2021-01-29 07:45:00,2021-01-29 18:15:00,1,1.3,0.6415853056212395,0.8340608973076113,-0.1766422670096105,0.8233577329903895,1.5100882225735144
IDX500,2021-02-03 09:15:00,2021-02-07 04:15:00,3,1.13,0.6415014892416298,0.7248966828430415,0.0,1.5100882225735144,2.6047461659173994
V42,2021-02-08 15:15:00,2021-02-08 16:30:00,3,1.0,0.008854974210029898,0.008854974210029898,0.0,2.6047461659173994,2.6278111260402723
V42,2021-02-08 17:15:00,2021-02-22 13:45:00,1,1.0,0.9510123540486564,0.9510123540486564,0.0,2.6278111260402723,5.126891971011082
V42,2021-02-24 05:30:00,2021-02-24 10:15:00,1,1.0,0.01094423999757832,0.01094423999757832,0.0,5.126891971011082,5.183001907183485
V42,2021-02-24 11:00:00,2021-02-24 13:15:00,1,1.0,-0.02759551307457453,-0.02759551307457453,0.0,5.183001907183485,5.039974310288258
V42,2021-02-25 15:30:00,2021-02-25 16:45:00,1,1.0,0.007133136297814202,0.007133136297814202,-0.02759551307457453,5.039974310288258,5.075925133981026
V42,2021-03-01 00:15:00,2021-03-04 04:30:00,3,1.0,0.41043489435321767,0.41043489435321767,-0.020659219332729406,5.075925133981026,7.159261930091371
IDX500,2021-03-10 02:15:00,2021-03-15 06:45:00,1,1.0,0.6431006144594655,0.6431006144594655,0.0,7.159261930091371,11.76338767640939
V42,2021-03-18 18:45:00,2021-03-18 19:45:00,3,1.0,-0.05936288617815,-0.05936288617815,0.0,11.76338767640939,11.065079032705247
V42,2021-03-24 16:30:00,2021-03-24 18:30:00,3,1.0,0.0012111995156651734,0.0012111995156651734,-0.05936288617815,11.065079032705247,11.078481051070456
V42,2021-07-26 20:30:00,2021-07-26 21:30:00,1,1.0,-0.04260834747051667,-0.04260834747051667,-0.05822358696147234,11.078481051070456,10.606445281000912
IDX500,2021-08-01 05:15:00,2021-08-01 14:45:00,3,0.8,-0.08159394859108238,-0.0652751588728659,-0.09835112360775466,10.606445281000912,9.914107880207219
IDX500,2021-08-06 01:15:00,2021-08-18 00:45:00,1,0.8,0.6449327039926571,0.5159461631941257,-0.15720639726179952,9.914107880207219,15.02925380249278
IDX500,2021-09-03 00:45:00,2021-09-07 09:15:00,2,1.13,0.6212126979585906,0.7019703486932073,0.0,15.02925380249278,25.57934433482735
V42,2021-10-07 00:45:00,2021-10-07 05:15:00,3,1.0,-0.025635613427951398,-0.025635613427951398,0.0,25.57934433482735,24.92360215171926
IDX500,2021-10-18 10:15:00,2021-10-18 12:45:00,3,1.13,-0.0798933937039975,-0.09027953488551717,-0.025635613427951398,24.92360215171926,22.67351094179037
IDX500,2021-10-21 11:45:00,2021-10-21 14:15:00,2,0.8,0.009903476450549231,0.007922781160439386,-0.11360077705668814,22.67351094179037,22.853148207121002
IDX500,2021-11-09 15:15:00,2021-11-09 15:45:00,1,0.8,-0.08450112894075368,-0.06760090315260295,-0.10657802999252475,22.853148207121002,21.308254748439335
V42,2021-11-21 03:30:00,2021-11-21 08:00:00,3,1.0,-0.0030745112277485998,-0.0030745112277485998,-0.1669741620614078,21.308254748439335,21.24274227997153
IDX500,2021-11-30 16:15:00,2021-11-30 16:45:00,1,0.8,0.01048044471743248,0.008384355773945985,-0.16953530935315475,21.24274227997153,21.420848988861056
IDX500,2021-12-01 19:15:00,2021-12-01 20:15:00,3,0.8,0.014143885829506653,0.011315108663605323,-0.16257239792907152,21.420848988861056,21.6632282228367
V42,2022-02-10 16:45:00,2022-02-10 20:30:00,1,1.0,-0.04259412913070104,-0.04259412913070104,-0.1530968136137365,21.6632282228367,20.740501882525347
IDX500,2023-01-25 23:15:00,2023-01-26 10:45:00,1,1.3,0.014689799867714015,0.01909673982802822,-0.18916991729587518,20.740501882525347,21.136577850878663
V42,2023-02-02 19:45:00,2023-02-02 21:00:00,3,1.0,2.9584337033705665e-05,2.9584337033705665e-05,-0.17368570616173595,21.136577850878663,21.13720316252154
V42,2023-02-14 16:30:00,2023-02-16 22:30:00,1,1.0,0.7896592467756429,0.7896592467756429,-0.17366126020117134,21.13720316252154,37.82839109078204
V42,2023-02-17 21:30:00,2023-02-17 22:00:00,3,1.0,-0.10764391224221947,-0.10764391224221947,0.0,37.82839109078204,33.75639507994154
IDX500,2023-02-17 22:15:00,2023-02-20 00:45:00,1,0.8,-0.03649105898508187,-0.029192847188065498,-0.10764391224221947,33.75639507994154,32.770949796752845
IDX500,2023-03-13 09:45:00,2023-03-14 19:15:00,1,0.8,0.3550460894731695,0.28403687157853563,-0.13369432714947227,32.770949796752845,42.079107855679766
IDX500,2023-03-15 16:15:00,2023-03-22 19:45:00,2,1.13,0.6491012502558893,0.7334844127891548,0.0,42.079107855679766,72.94347757189455
V42,2023-04-27 20:00:00,2023-04-28 08:30:00,1,1.0,-0.056751372477361506,-0.056751372477361506,0.0,72.94347757189455,68.80383510641789
V42,2023-06-21 17:45:00,2023-06-21 21:00:00,1,1.0,0.0062064594300841325,0.0062064594300841325,-0.056751372477361506,68.80383510641789,69.23086331764007
IDX500,2023-07-10 22:15:00,2023-07-14 18:15:00,1,1.0,0.042715572597455065,0.042715572597455065,-0.05089713813815977,69.23086331764007,72.18809928566921
V42,2023-10-23 19:30:00,2023-10-23 23:00:00,3,1.0,0.8933905844170449,0.8933905844170449,-0.010355665939848047,72.18809928566921,136.68026749444888
V42,2023-10-23 23:45:00,2023-12-11 02:00:00,1,1.0,1.3599426433363173,1.3599426433363173,0.0,136.68026749444888,322.5575917627646
V42,2024-01-02 16:00:00,2024-01-02 17:30:00,3,1.0,0.0005086214030247671,0.0005086214030247671,0.0,322.5575917627646,322.7216514576433
V42,2024-01-09 01:30:00,2024-01-09 09:15:00,3,1.0,0.004296317190108034,0.004296317190108034,0.0,322.7216514576433,324.1081660364208
V42,2024-01-11 00:15:00,2024-01-11 16:00:00,1,1.0,0.011653701065002409,0.011653701065002409,0.0,324.1081660364208,327.88522571613544
V42,2024-02-09 15:15:00,2024-02-20 17:15:00,3,1.0,0.895097380748872,0.895097380748872,0.0,327.88522571613544,621.3744324409009
IDX500,2024-02-27 04:15:00,2024-02-28 17:15:00,1,1.0,0.524783036867758,0.524783036867758,0.0,621.3744324409009,947.4611941292164
V42,2024-02-28 18:15:00,2024-02-28 20:00:00,1,1.0,0.011534090301007272,0.011534090301007272,0.0,947.4611941292164,958.389297099003
V42,2024-02-28 21:15:00,2024-03-05 19:45:00,3,1.0,0.0060627998055216015,0.0060627998055216015,0.0,958.389297099003,964.1998195430688
IDX500,2024-03-08 16:15:00,2024-03-12 17:15:00,1,1.0,0.48117955277521496,0.48117955277521496,0.0,964.1998195430688,1428.1530574967455
IDX500,2024-04-18 18:15:00,2024-04-19 01:15:00,1,1.0,0.010089352344983649,0.010089352344983649,0.0,1428.1530574967455,1442.5621968963958
V42,2024-05-05 01:15:00,2024-05-06 12:30:00,3,1.0,0.005463398176236867,0.005463398176236867,0.0,1442.5621968963958,1450.4434885720277
IDX500,2024-07-21 18:15:00,2024-07-23 13:15:00,1,1.0,-0.022704008742797877,-0.022704008742797877,0.0,1450.4434885720277,1417.512606926554
V42,2024-10-16 14:30:00,2024-10-16 16:00:00,3,1.0,-0.0009954171164074932,-0.0009954171164074932,-0.022704008742797877,1417.512606926554,1416.101590614896
V42,2024-10-29 20:30:00,2024-10-30 12:00:00,1,1.0,-0.05159386823106349,-0.05159386823106349,-0.023676825900291854,1416.101590614896,1343.0394317469115
V42,2024-11-06 08:30:00,2024-11-14 21:00:00,1,1.0,0.8437938508101506,0.8437938508101506,-0.07404911509572587,1343.0394317469115,2476.2878456505146
V42,2024-11-15 13:30:00,2024-11-15 14:15:00,3,1.0,0.0018931823161798533,0.0018931823161798533,0.0,2476.2878456505146,2480.975910009671
V42,2024-11-19 14:30:00,2024-11-19 22:30:00,1,1.0,-0.04189973012095649,-0.04189973012095649,0.0,2480.975910009671,2377.0236889436715
V42,2025-01-14 16:45:00,2025-01-19 22:45:00,3,1.0,0.9388854530568411,0.9388854530568411,-0.04189973012095649,2377.0236889436715,4608.7766520643945
IDX500,2025-01-20 16:15:00,2025-01-20 16:45:00,1,1.0,0.02133680673862348,0.02133680673862348,0.0,4608.7766520643945,4707.113228790972
V42,2025-02-21 16:30:00,2025-02-21 17:30:00,1,1.0,-0.049361607423133114,-0.049361607423133114,0.0,4707.113228790972,4474.762553495156
V42,2025-04-21 17:45:00,2025-05-04 23:15:00,3,1.0,0.7305805022679204,0.7305805022679204,-0.049361607423133114,4474.762553495156,7743.936827357328
IDX500,2025-05-18 18:15:00,2025-05-18 19:45:00,3,1.13,-0.023284711092705246,-0.026311723534756925,0.0,7743.936827357328,7540.180502485279
V42,2025-05-22 14:45:00,2025-05-22 20:30:00,3,1.0,-0.0006774750868010493,-0.0006774750868010493,-0.02631172353475697,7540.180502485279,7535.072218044863
V42,2025-10-28 15:30:00,2025-10-28 18:15:00,3,1.0,-0.0048679993352892525,-0.0048679993352892525,-0.026971373084372363,7535.072218044863,7498.391491496064
